文档类型,业务类型,名称,文档链接,jira链接,工作表,测试用例编写
需求,全部,需求清单,场外AI交易_5月版本需求,,,
缺陷,全部,【企微文档】场外AI智能体问题记录,场外AI智能体问题记录,,,
测试,全部,测试步骤,,,,
测试,期权,存量兼容,,,,
测试,期权,期权标的智能化,,http://jira.gf.com.cn/browse/CWAIJY-506,,
测试,期权,期权开仓口语化,,http://jira.gf.com.cn/browse/CWAIJY-550,,
测试,期权,期权平仓口语化,,,,
测试,期权,HK邮箱,,http://jira.gf.com.cn/browse/CWAIJY-516,,
测试,期权,期权开仓平仓补参回显,,http://jira.gf.com.cn/browse/CWAIJY-555,,
测试,期权,期权开仓平仓默认算法时间,,http://jira.gf.com.cn/browse/CWAIJY-556,,陈章匡
测试,互换,互换业务提供的测试案例,,,,
测试,互换,互换确认改单提示语,,,,陈章匡
测试,互换,A股、深港通、沪港通的算法单支持限价,,http://jira.gf.com.cn/browse/CWAIJY-541,,彭惠琪
测试,互换,互换 支持按金额下单,,http://jira.gf.com.cn/browse/CWAIJY-540,,陈章匡
测试,互换,互换口语化：A股对应pov10%；港股/美股/沪港通/深港通/期货对应pov50%,,http://jira.gf.com.cn/browse/CWAIJY-548,,
测试,,,,,,
