产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
机器人,,,验证：不@机器人或没有“快速询价”文本，输入单个询价指令，机器人不需要做什么,用户已登录微信，并加入机器人所在群聊。,"600519.SH，欧式看涨,1M,80%",1,"用户在微信群中输入询价指令：“600519.SH，欧式看涨,1M,80%”",机器人不需要做什么,不 @机器人且不包含“快速询价”文本,phq,反案例,高,45905,待自动化,"开发自测,冒烟测试,最小功能用例集",,期权询价,否
机器人,,,验证：输入单个快速询价指令，使用中文逗号分隔参数，机器人能正确解析,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨，600519.SH，80%，1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨，600519.SH，80%，1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,\n欧式期权\n,phq,正案例,高,45905,待自动化,"开发自测,冒烟测试,集成测试,业务验收,\n最小功能用例集",,期权询价,否
机器人,,,验证：输入单个快速询价指令，使用中文逗号分隔参数，机器人能正确解析,用户已登录微信，并加入机器人所在群聊。,快速询价：快速询价：雪球，600989.SH，70/103，6M，30,1,用户在微信群中输入询价指令：\n“快速询价：快速询价：雪球，600989.SH，70/103，6M，30”,机器人返回:\n宝丰能源雪球期权的实时报价信息，包含：标的代码、标的名称、起始观察、期限、敲入、敲出、最大亏损比例、保障金比例、票息年化。,雪球,phq,正案例,高,45905,待自动化,"开发自测,冒烟测试,集成测试,业务验收,\n最小功能用例集",,期权询价,否
机器人,,,验证：输入单个快速询价指令，使用中文逗号分隔参数，机器人能正确解析,用户已登录微信，并加入机器人所在群聊。,快速询价：快速询价：参与型看涨，000002.SZ，80/80，3M,1,用户在微信群中输入询价指令：\n“快速询价：快速询价：参与型看涨，000002.SZ，80/80，3M”,机器人返回:\n万科A参与型看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,参与型看涨,phq,正案例,高,45905,待自动化,"开发自测,冒烟测试,集成测试,业务验收,\n最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权快速询价分隔号兼容：中文分号,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨；600519.SH；80%；1M\n,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨；600519.SH；80%；1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,中文分号分隔\n快速询价指令,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权快速询价分隔号兼容：中文顿号,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨、600519.SH、80%、1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨、600519.SH、80%、1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,中文顿号分隔\n快速询价指令,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权快速询价分隔号兼容：中文冒号,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨：600519.SH：80%：1M\n,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨：600519.SH：80%：1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,中文冒号分隔\n简洁指令输入,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权询价分隔号兼容：英文逗号,用户已登录微信，并加入机器人所在群聊。,"快速询价：欧式看涨,600519.SH,80%,1M",1,"用户在微信群中输入询价指令：\n“快速询价：欧式看涨,600519.SH,80%,1M”",机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,英文逗号分隔\n简洁指令输入,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权询价分隔号兼容：英文分号,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨;600519.SH;80%;1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨;600519.SH;80%;1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,英文逗号分隔\n简洁指令输入,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：欧式看涨期权询价分隔号兼容：英文冒号,用户已登录微信，并加入机器人所在群聊。,\n快速询价：欧式看涨:600519.SH:80%:1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨:600519.SH:80%:1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,英文冒号分隔\n简洁指令输入,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：快速询价中期限支持大小写,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨，600519.SH，80%，1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨，600519.SH，80%，1M”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,快速询价\n期限大写,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：快速询价中期限支持大小写,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨，600519.SH，80%，1m,2,用户在微信群中输入询价指令：\n“快速询价：欧式看涨，600519.SH，80%，1m”,机器人返回:\n贵州茅台欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,快速询价\n期限小写,phq,正案例,高,45905,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：多个标的欧式期权快速询价指令，机器人能正确解析,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨，002597/002074/002690/603308/603198，80%，1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨，002597/002074/002690/603308/603198，80%，1M”,机器人返回:\n002597、002074、002690、603308、603198欧式看涨期权的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,\n多标快速询价指令,phq,正案例,高,45905,待自动化,"开发自测,冒烟测试,集成测试,业务验收,最小功能用例集",,期权询价,否
机器人,,,验证：多个执行价欧式期权快速询价指令，机器人能正确解析,用户已登录微信，并加入机器人所在群聊。,快速询价：欧式看涨，600519.SH，80%/100%/102%，1M,1,用户在微信群中输入询价指令：\n“快速询价：欧式看涨，600519.SH，80%/100%/102%，1M”,机器人返回：\n600519.SH欧式看涨期权80%/100%/102%三个执行价的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。,多执行价快速询价指令,phq,正案例,高,45905,待自动化,"开发自测,冒烟测试,集成测试,业务验收,最小功能用例集",,期权询价,否
